record_id,timestamp,charge_point_id,user_id,session_token,session_start_ip,current_request_ip,ip_change_count,concurrent_sessions,session_duration_seconds,device_type,user_agent,failed_auth_attempts,geo_location_match,token_age_seconds,is_token_expired,session_fixation_detected,cookie_secure_flag,same_device_fingerprint,request_frequency_per_minute,anomaly_type,label
1,2025-04-23 23:28:48,CP-0012,USER-00151,fb376ee313d92b31d5568949410409f6,172.16.0.20,172.16.0.20,0,2,381,api_client,OCPP-Client/1.6.0,1,1,923,0,0,1,1,3.014567844193671,none,0
2,2025-10-31 10:26:02,CP-0019,USER-00168,f882b438e9a67dece714ab0c0ae864ad,172.16.0.38,172.16.0.38,0,2,6057,ocpp_client,OCPP-Client/1.6.0,1,1,2784,0,0,1,1,1.8007560210968219,none,0
3,2025-05-22 11:26:04,CP-0025,USER-00070,9f0a6c3f28c12a82b2a93ece213aa9c0,10.0.0.151,10.0.0.151,0,1,1959,ocpp_client,EVCharge-App/3.2.1 (iOS),0,1,1220,0,0,1,1,3.00681752209921,none,0
4,2025-10-19 22:30:38,CP-0031,USER-00011,12bd7146887d653a716043d52518d1b6,172.16.0.181,23.129.64.100,13,1,8,api_client,EVCharge-App/3.2.1 (iOS),0,0,651,0,0,1,1,1.5676574829265855,ip_mismatch,1
5,2025-04-22 18:23:58,CP-0040,USER-00130,43733881444327321ccd950718a03e9b,10.0.0.202,10.0.0.202,0,2,2338,api_client,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),1,1,2806,0,0,1,1,2.5210771513699126,none,0
6,2025-06-20 04:38:53,CP-0001,USER-00132,3bf4fa17e54391eceaf48dee3dec77f6,192.168.1.47,192.168.1.47,0,42,486139,api_client,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,1986,0,0,1,1,12.716222890936486,concurrent_sessions,1
7,2025-12-17 20:17:07,CP-0009,USER-00122,f2cf79a0f5f8a64fb100f1c92385ca5f,192.168.1.109,192.168.1.109,0,1,6764,ocpp_client,OCPP-Client/1.6.0,1,1,1870,0,0,1,1,0.7134372196378154,none,0
8,2025-05-11 10:53:31,CP-0002,USER-00190,2d3dc63ab06cfcf3039f71f93c482ba1,172.16.0.84,172.16.0.84,0,2,1936,iot_device,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,1469,0,0,1,1,1.6391336028536716,none,0
9,2025-10-05 15:58:59,CP-0043,USER-00004,2997e4cd2f00138f1e6d614f94405921,10.0.0.222,10.0.0.222,0,1,357450,ocpp_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,11983,0,1,1,1,1.2150430667227807,session_fixation,1
10,2025-07-10 22:14:46,CP-0018,USER-00131,f6cdc66f4302afaba6cc46f416b7c45b,10.0.0.173,10.0.0.173,0,1,297160,ocpp_client,EVCharge-App/3.2.1 (iOS),3,1,86826,1,0,1,1,2.5583155137533398,session_replay,1
11,2025-10-29 07:33:43,CP-0019,USER-00180,29f4dbe18d89bbe5f30836638ff32bf1,172.16.0.166,172.16.0.166,0,2,1178,api_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,801,0,0,1,1,0.5221062554295297,none,0
12,2025-07-30 21:00:55,CP-0043,USER-00164,01f265cdeedb340dae07ce9c3ec7aa8b,172.16.0.189,185.220.100.180,4,1,4,ocpp_client,ChargingStation-Monitor/2.0,0,0,134,0,0,1,1,3.59479865722547,geo_location_anomaly,1
13,2025-08-30 21:25:37,CP-0005,USER-00150,ef40f1d7632f34f86336a0e29e4ff6fd,10.0.0.80,10.0.0.80,0,1,4229,mobile_app,OCPP-Client/1.6.0,1,1,2212,0,0,1,1,2.5038544685475816,none,0
14,2025-03-15 06:29:31,CP-0005,USER-00173,76f374d24966e9805dd08ada351786fc,172.16.0.123,172.16.0.214,3,1,505368,web_browser,OCPP-Client/1.6.0,0,0,2908,0,0,1,1,1.4886457872942702,ip_mismatch,1
15,2025-07-19 17:14:18,CP-0050,USER-00022,90ec6ef55caf71079428f8239decb5c9,192.168.1.101,192.168.1.101,0,21,244649,ocpp_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,1575,0,0,1,1,67.51148449441693,concurrent_sessions,1
16,2025-04-01 06:30:04,CP-0049,USER-00182,0c7dc184038483124b3a3389bcfa90bf,10.0.0.13,91.121.84.203,0,1,415931,api_client,Unknown-Browser/1.0,0,1,1435,0,0,0,0,1.0230287157660336,cookie_hijacking,1
17,2025-11-22 12:54:28,CP-0010,USER-00081,89e648d3b9c4ea5cfaf3c0968bb29fef,192.168.1.251,192.168.1.251,0,2,5702,mobile_app,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),1,1,2766,0,0,1,1,4.51002291181398,none,0
18,2025-03-30 16:41:46,CP-0026,USER-00120,bb1d7ba39b2a6ca202b0b98d7a783152,192.168.1.132,192.168.1.132,0,1,6916,mobile_app,EVCharge-App/3.2.1 (iOS),0,1,349,0,0,1,1,3.2021227127039844,none,0
19,2025-02-06 16:21:50,CP-0046,USER-00043,bf3e4af9ee7b4d8f52aba63f696b641c,172.16.0.77,172.16.0.77,0,1,639,api_client,ChargingStation-Monitor/2.0,1,1,783,0,0,1,1,4.3796925801984266,none,0
